Name,Lat,Long
1806,-37.8116581,144.967891
Banoi CBD,-37.8148065,144.9546147
BlackBall ChinaTown,-37.8125366,144.964617
Bornga,-37.8119045,144.9647679
Buza Chicken,-37.8099792,144.9557295
Che Desserts,-37.812627,144.9611743
CJ Lunch Bar,-37.8118031,144.958168
Crystal Jade Restaurant,-37.8115473,144.9658058
Cumulus Inc,-37.8149132,144.9709342
Dainty Sichuan Food,-37.8108135,144.9657925
David's Hotpot,-37.8106739,144.9587473
Dessert Kitchen,-37.811382,144.9680736
Dodee Paidang Thai Bar and Cafe,-37.8158722,144.9609787
DOOBOO,-37.8120634,144.9641332
D’Penyetz & D’Cendol Melbourne,-37.804426,144.9659133
Eau De Vie,-37.8158003,144.9693987
Elephant Corridor,-37.8807509,145.1625283
Gami Chicken & Beer,-37.813479,144.9536933
GogiMatcha,-37.8137323,144.9516242
Gold Leaf Docklands Restaurant,-37.8124179,144.9349245
Hakata Gensuke Tonkotsu Ramen,-37.812275,144.9659633
Han Guuk Guan,-37.8075406,144.9674394
Hofbräuhaus,-37.8116657,144.9671031
Hui Lau Shan,-37.8090439,144.9582923
Humble Rays,-37.8048071,144.9592607
Hwaro,-37.815158,144.9551548
Ippudo,-37.8105019,144.9640479
Jade Kingdom,-37.7299489,145.0583006
Joomak,-37.8089306,144.961053
Kaki Lima RMIT,-37.8082177,144.9614872
Killiney Kopitiam,-37.8043874,144.9643952
Kim Sing Restaurant,-37.817316,144.9615213
Korchi City,-37.8142197,144.9574343
Lazerpig,-37.798628,144.9819513
Little Rogue,-37.810993,144.9635188
Lulu’s Char Koay Teow,-37.814004,144.9590753
Lune Croissanterie,-37.815369,144.9684084
Mamak,-37.8122826,144.9593897
Master Lanzhou Noodle Bar,-37.8005291,144.961428
Mook Ji Bar,-37.8125892,144.9582337
Mugen Ramen,-37.8172694,144.9615419
Nasi Lemak House,-37.8007064,144.9634907
Norsiah's Kitchen,-37.8021193,144.9616771
Pidapipó,-37.7983202,144.9649882
Pondok Rempah,-37.8076079,144.9576274
Rich Mahal Indian Restaurant,-37.8562589,145.1811036
Rose Garden BBQ,-37.808829,144.9582084
Sambal Kampung,-37.812469,144.9661894
Sarawak Kitchen,-37.8079915,144.9578015
Secret Kitchen,-37.8109363,144.9693427
Simply Spanish,-37.8165189,144.9559347
Shanghai Street Dumpling,-37.8132158,144.9602065
Supper Inn Chinese Restaurant,-37.8118638,144.9639763
THAI 29 RESTAURANT,-37.8300856,144.9605223
The Alley LuJiaoXiang,-37.8109054,144.9641961
The Moghals,-37.8117069,144.9511684
Tim Ho Wan,-37.8129204,144.9665586
Universal Restaurant,-37.8038693,144.9639206
Wonder Bowl,-37.8106962,144.9634514
